Title,Subtitle,Link
"Presidente afegão deixa o país, e Talibã diz que tomou palácio presidencial em Cabul",Tomada da capital ocorre 20 anos depois de o grupo ser expulso pelos EUA.,https://g1.globo.com/mundo/noticia/2021/08/15/presidente-do-afeganistao-deixa-o-pais-diz-imprensa-local.ghtml
"'Aconteceu mais rápido do que pensávamos', diz secretário de Estado dos EUA",,https://g1.globo.com/mundo/noticia/2021/08/15/taliba-volta-a-cabul-aconteceu-mais-rapido-do-que-pensavamos-diz-secretario-de-estado-dos-eua.ghtml
O que é o Talibã? Quem lidera o grupo? ENTENDA,,https://g1.globo.com/mundo/noticia/2021/08/15/o-que-e-o-taliba.ghtml
"Fuga para o Paquistão, apelo do papa, comboio do Talibã e mais vídeos sobre a situação no Afeganistão",,https://g1.globo.com/mundo/playlist/taliba-afeganistao-videos.ghtml
"'Profundamente preocupada com as mulheres afegãs', diz Malala",,https://g1.globo.com/mundo/noticia/2021/08/15/estou-profundamente-preocupada-com-as-mulheres-afegas-diz-malala-enquanto-o-taliba-cerca-cabul.ghtml
Número de mortos em terremoto no Haiti passa de 700,,https://g1.globo.com/mundo/noticia/2021/08/15/sobe-para-724-numero-de-mortos-por-terremoto-no-haiti.ghtml
Palácio Capanema pode entrar em lista de imóveis que serão vendidos pelo governo ,Construção foi sede dos ministérios da Educação e da Saúde Pública. Projeto tem assinatura dos mais importantes arquitetos brasileiros de todos os tempos.,https://g1.globo.com/rj/rio-de-janeiro/noticia/2021/08/14/palacio-capanema-no-rio-pode-entrar-em-feirao-de-imoveis-e-ser-vendido.ghtml
Zeca Pagodinho é internado com Covid,"Cantor tem sintomas leves e não precisa de suporte de oxigênio, segundo o hospital.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2021/08/15/zeca-pagodinho-covid.ghtml
De Mônica Calazans até hoje: os 7 meses de vacinação em SP,96% das pessoas acima de 18 anos receberam ao menos a primeira dose do imunizante na capital.,https://g1.globo.com/sp/sao-paulo/noticia/2021/08/15/apos-quase-7-meses-vacina-contra-covid-chega-a-grupo-de-18-anos-na-cidade-de-sp-relembre-campanha-e-saiba-quais-os-proximos-desafios.ghtml
'Virada da Vacina' na cidade de SP imuniza jovens até as 17h de hoje,,https://g1.globo.com/sp/sao-paulo/noticia/2021/08/14/virada-da-vacina-na-cidade-de-sp-imuniza-contra-covid-jovens-de-18-a-21-anos-ate-as-17h-do-domingo.ghtml
